Erwin	アーウィン
acrylic plastic	アクリルプラスチック
acrylic painting	アクリルペインティング
acrylic lens	アクリルレンズ
acryloid	アクリロイド
acryloyl morpholine	アクリロイルモルホリン
acryloguanamine	アクリログアナミン
acrylonitrile	アクリロニトリル
acrylonitrile rubber	アクリロニトリルゴム
acrylonitrile	アクリロニトリルブタジエンゴム
acclaim	アクレイム
accredit	アクレジット
acrosin	アクロシン
across	アクロス
acrostic	アクロスティック
acrostic puzzle	アクロステックパズル
acronym	アクロニム
acrobat	アクロバット
acrobatic dancer	アクロバットダンサー
acrobatic dance	アクロバットダンス
aerobatic team	アクロバットチーム
acrobatic	アクロバティック
acropolis	アクロポリス
achromat	アクロマート
achromatic lens	アクロマチックレンズ
acromegaly	アクロメガリー
acrolein	アクロレイン
acquire	アクワイア
Brazilian agouti	アグーチ
Agni	アグニ
Agnus Dei	アグヌスデイ
aggradation	アグラデーション
aggravate	アグラベイト
agree	アグリ
agreement	アグリーメント
agriculture	アグリカルチャー
agricultural	アグリカルチュラル
agrichemicals	アグリケミカル
aggregating	アグリゲート
aggregation	アグリゲイション
agritech	アグリテック
ugliness	アグリネス
agribusiness	アグリビジネス
agribusinessman	アグリビジネスマン
agreeable	アグレアブル
civil service competitive examination for some positions in the public education system in France	アグレガシオン
aggression	アグレション
aggressive	アグレッシブ
agrément	アグレマン
agroforestry	アグロフォレストリー
agglomeration	アグロメ
arcade game	アケゲー
arcade controller	アケコン
northern ridge-tailed monitor	アケボノヒメオオトカゲ
Achernar	アケルナル
repeat of a deuce	アゲーン
ageratum	アゲラタム
head wind	アゲンスト
head wind	アゲンストウインド
acoustic	アコースティック
acoustic emission	アコースティックエミッション
acoustic guitar	アコースティックギター
acoustic sound	アコースティックサウンド
accordion	アコーディオン
accordion door	アコーディオンドア
accordion pleats	アコーディオンプリーツ
accord	アコード
acoustic guitar	アコギ
aconite	アコナイト
aconitine	アコニチン
aconitum alkaloid	アコニットアルカロイド
accommodation	アコモデーション
accommodator	アコモデーター
accommodation	アコモデイション
accommodate	アコモデイト
acolyte	アコライト
achondrite	アコンドライト
accompany	アコンパニ
accompaniment	アコンパニメント
accomplice	アコンプリス
accomplish	アコンプリッシ
agomelatine	アゴメラチン
agora	アゴラ
agoraphobia	アゴラフォビア
assertion	アサーション
assertiveness training	アサーティブネストレーニング
assert	アサート
açaí	アサイー
aside	アサイド
asylum	アサイラム
assign	アサイン
assignment	アサインメント
assassination	アサシネイション
assassinate	アサシネイト
assassin	アサシン
ASATERM	アサターム
asahi.com	アサヒコム
asafoetida	アサフェティダ
West Australian butterflyfish	アサリウスバタフライフィッシュ
asarinin	アサリニン
assault	アサルト
assault rifle	アサルトライフル
assumption	アサンプション
adhan	アザーン
azathioprine	アザチオプリン
azalea	アザレア
azaleatin	アザレアチン
otherwise	アザワイズ
Azawad	アザワド
assistant	アシ
ashamed	アシェイムド
estate	アシエンダ
Ashgabat	アシガバート
aciclovir	アシクロビル
assistance	アシスタンス
assistant	アシスタント
assistant object	アシスタントオブジェクト
assistant director	アシスタントディレクター
assistance dog	アシスタントドッグ
assistant purser	アシスタントパーサー
assist	アシスト
acid	アシッド
acid jazz	アシッドジャズ
acidosis	アシドーシス
assistant manager	アシマネ
assimilation	アシミレイション
assimilate	アシミレイト
asymmetry	アシメ
asymmetry	アシメトリ
asymmetric design	アシメトリックデザイン
assure	アシュア
assurance	アシュアランス
assuredly	アシュアリッドリ
Ashkenazim	アシュケナジム
ashwagandha	アシュワガンダ
asymmetry	アシンメトリー
asymmetric design	アシンメトリックデザイン
agitation	アジ
asylum	アジール
Asiago cheese	アジアーゴチーズ
Asian influenza	アジアインフルエンザ
Asian Cup	アジアカップ
Asian golden cat	アジアゴールデンキャット
Asia dollar	アジアダラー
Asian	アジアン
adjacent	アジェイサント
adjective	アジェクティブ
agenda	アジェンダ
agenda setting	アジェンダセッティング
azithromycin	アジスロマイシン
agitato	アジタート
agitation	アジテーション
agitator	アジテーター
agitate	アジテイト
hideout	アジト
azide	アジド
azidothymidine	アジドチミジン
propaganda handbill	アジビラ
adjuster	アジャスター
adjustable wrench	アジャスタブルレンチ
adjustment	アジャスト
adjustment	アジャストメント
sport similar to ball-toss game played in schools	アジャタ
adjuvant	アジュバント
agility	アジリティ
agile mangabey	アジルマンガベイ
ASCII file	アスキーファイル
ASCII mode	アスキーモード
ASKUL	アスクル
Ascot tie	アスコットタイ
asphalt concrete	アスコン
asterisk	アスター
astatine	アスタチン
Astana	アスタナ
asterisk	アスタリスク
astilbe	アスチルベ
Aztec	アステック
asterisk	アステリ
asterism	アステリズム
asteroid	アステロイド
astonishment	アストニッシメント
astonish	アストニッシュ
astrakhan	アストラカン
astral	アストラル
astringent	アストリンゼント
astrocyte	アストロサイト
marble cichlid	アストロノータス
astronaut	アストロノート
astronomer	アストロノマー
astronomy	アストロノミー
astrolabe	アストロラーベ
astro-rama	アストロラマ
astrology	アストロロジー
asparagus	アスパラ
asparagus	アスパラガス
asparagine	アスパラギン
aspartame	アスパルテーム
ASPI	アスピー
aspite	アスピーテ
aspic	アスピック
aspirin	アスピリン
aspirin snow	アスピリンスノー
aspiration	アスピレーション
asphalt	アスファルト
asphalt concrete	アスファルトコンクリート
asphalt shingle	アスファルトシングル
asphalt jungle	アスファルトジャングル
asphalt felt	アスファルトフェルト
asphodel	アスフォデル
Egyptian cobra	アスプ
asbestos	アスベスト
