アイスコンデンサ;アイス・コンデンサ 	(n) ice condenser
アイスショー;アイス・ショー 	(n) ice show
アイスジャイアント;アイス・ジャイアント 	(n) {astron} (See 天王星型惑星・てんのうせいがたわくせい) ice giant
アイススケート;アイス・スケート 	(n) ice skating
アイススマック;アイス・スマック 	(n) (See スマック・1) chocolate-coated ice cream on a stick (wasei: ice smack)
アイススレッジホッケー;アイス・スレッジ・ホッケー 	(n) ice sledge hockey
アイスズメダイ 	(n) Australian gregory (Stegastes apicalis)
アイスダイビング;アイス・ダイビング 	(n) ice diving
アイスダンス;アイス・ダンス 	(n) ice dancing
アイスティ;アイスティー;アイス・ティ;アイス・ティー 	(n) iced tea
アイステズボド 	(n) eisteddfod
アイストング;アイス・トング 	(n) ice tongs
アイスハーケン 	(n) ice piton (ger: Eishaken)
アイスバー;アイス・バー 	(n) (See アイスキャンディー) ice pop (wasei: ice bar)
アイスバーグ 	(n) (See 氷山) iceberg
アイスバーン 	(n) (1) icy road (ger: Eisbahn)
アイスバイン 	(n) {food} eisbein (ger: Eisbein)
アイスバケット;アイス・バケット 	(n) ice bucket
アイスパック;アイス・パック 	(n) ice bag
アイスピック;アイス・ピック 	(n) ice pick
アイスフォール 	(n) icefall
アイスブリッジ;アイス・ブリッジ 	(n) ice bridge
アイスブレーカー;アイスブレイカー 	(n) icebreaker
アイスプディング;アイス・プディング 	(n) ice pudding
アイスプラント;アイス・プラント 	(n) ice plant (Mesembryanthemum crystallinum)
アイスペール;アイス・ペール 	(n) ice pail
アイスホッケー(P);アイス・ホッケー 	(n) ice hockey
アイスボックス;アイスバックス 	(n) icebox
アイスポッテッドパファー;テトラオドン・レイウルス 	(n) Tetraodon leiurus (species of pufferfish)
アイスポットクテノポマ 	(n) eyespot ctenopoma (species of freshwater fish, Ctenopoma ocellatum)
アイスポットシクリッド 	(n) eye-spot cichlid (Cichla spp.)
アイスミルク;アイス・ミルク 	(n) (1) ice milk (wasei:)
アイスヨット;アイス・ヨット 	(n) ice yacht
アイスランドキャットシャーク;アイスランド・キャットシャーク 	(n) Iceland catshark (Apristurus laurussonii, an Atlantic species)
アイスランドポピー;アイスランド・ポピー 	(n) Iceland poppy (Papaver nudicaule)
アイスリンク;アイス・リンク 	(n) ice rink
アイズ 	(n) eyes
アイゼン 	(n) metal pins of climbing shoes (ger: Eisen)
アイソキネティックス 	(n) isokinetics
アイソクロナルテスト 	(n) isochronal test
アイソザイム 	(n) isozyme
アイソスタシー 	(n) {geol} isostasy
アイソスピン 	(n) isospin
アイソセンタ 	(n) isocentre
アイソタイプ 	(n) isotype
アイソタクチックポリオレフィン 	(n) isotactic polyolefin
